learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
31000.0,0.778793,0.0,31000.0,75.3,36.969214437367285,-502.4390243902434,-26.020408163265333,31000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
32000.0,0.798703,0.0,32000.0,81.3,52.23413956315949,-449.99999999999966,18.34061135371176,32000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
33000.0,0.819017,0.0,33000.0,80.7,46.275470437590464,-436.1111111111105,21.224489795918387,33000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
34000.0,0.841644,0.0,34000.0,80.2,46.087827829572205,-382.9268292682921,22.656250000000018,34000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
35000.0,0.862483,0.0,35000.0,84.8,57.764637887342715,-374.99999999999966,34.76394849785407,35000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
36000.0,0.882337,0.0,36000.0,85.0,64.86790331646992,-383.87096774193515,53.124999999999986,36000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
37000.0,0.902583,0.0,37000.0,86.4,67.34654677727224,-466.6666666666662,52.28070175438597,37000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
38000.0,0.923871,0.0,38000.0,80.2,49.201983688192556,-942.1052631578937,27.472527472527496,38000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
39000.0,0.944636,0.0,39000.0,84.3,63.7741351940045,-1469.9999999999989,49.999999999999986,39000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
40000.0,0.963976,0.0,40000.0,88.0,63.698735808474524,-2899.9999999999973,40.88669950738915,40000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
41000.0,0.981279,0.0,41000.0,90.5,76.78533028365884,-1483.3333333333314,68.95424836601308,41000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
42000.0,1.005994,0.0,42000.0,90.10000000000001,70.8382672628621,-661.5384615384608,60.86956521739132,42000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
43000.0,1.024298,0.0,43000.0,86.3,66.64394234514998,-813.3333333333326,60.28985507246376,43000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
44000.0,1.044614,0.0,44000.0,90.7,78.61823198068744,-519.9999999999992,72.1556886227545,44000.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
45000.0,1.069396,0.0,45000.0,87.5,68.70336801834733,-495.23809523809473,58.05369127516779,45000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
46000.0,1.086471,0.0,46000.0,92.0,81.56682027649771,-471.42857142857065,77.14285714285715,46000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
47000.0,1.10321,0.0,47000.0,94.8,84.33734939759034,-420.0,76.36363636363635,47000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
48000.0,1.120012,0.0,48000.0,95.0,87.74894150854632,-733.3333333333333,83.44370860927151,48000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
49000.0,1.138694,0.0,49000.0,96.0,86.36459703975402,-400.0,79.6954314720812,49000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
50000.0,1.15746,0.0,50000.0,96.3,89.29274221553419,-270.0,84.58333333333331,50000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
51000.0,1.176004,0.0,51000.0,97.6,92.66790497604849,-100.0,88.88888888888887,51000.0,0.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
52000.0,1.198819,0.0,52000.0,97.0,91.43077494358593,-150.0,87.34177215189872,52000.0,0.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
53000.0,1.217403,0.0,53000.0,96.0,87.92584051242733,-150.0,82.37885462555064,53000.0,0.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
54000.0,1.237598,0.0,54000.0,94.5,84.96413262181785,-205.55555555555554,79.40074906367039,54000.0,0.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
55000.0,1.255968,0.0,55000.0,92.2,79.55760561903764,-224.99999999999955,73.10344827586208,55000.0,0.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
56000.0,1.27479,0.0,56000.0,90.9,77.65489333280951,-224.9999999999996,70.92651757188499,56000.0,0.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
57000.0,1.297758,0.0,57000.0,89.1,75.71084766913272,-220.5882352941173,69.72222222222223,57000.0,0.0,17.0,9.0,9.0,7.0,0.0,0.0,1.0
58000.0,1.317967,0.0,58000.0,88.2,73.6995778559361,-218.91891891891865,67.8474114441417,58000.0,0.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
59000.0,1.335359,0.0,59000.0,85.8,69.24063355630264,-254.99999999999972,65.02463054187191,59000.0,0.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
60000.0,1.356959,0.0,60000.0,86.7,72.49224405377456,-303.03030303030266,68.70588235294119,60000.0,0.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
61000.0,1.37452,0.0,61000.0,87.2,72.24583253829208,-265.7142857142854,63.005780346820806,61000.0,0.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
62000.0,1.391559,0.0,62000.0,84.89999999999999,67.3502218455125,-235.5555555555553,54.79041916167664,62000.0,0.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
63000.0,1.411281,0.0,63000.0,77.10000000000001,48.44989509891317,-324.0740740740736,25.889967637540472,63000.0,0.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
64000.0,1.431116,0.0,64000.0,80.30000000000001,57.65262252794498,-293.99999999999955,44.50704225352114,64000.0,0.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
65000.0,1.449565,0.0,65000.0,85.1,68.77645619064383,-254.76190476190447,58.72576177285318,65000.0,0.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
66000.0,1.475361,0.0,66000.0,85.2,68.14038894557603,-289.473684210526,57.83475783475782,66000.0,0.0,25.0,13.0,13.0,7.0,0.0,0.0,1.0
67000.0,1.495753,0.0,67000.0,88.3,74.27214354824523,-289.99999999999966,61.63934426229509,67000.0,0.0,25.0,13.0,13.0,7.0,0.0,0.0,1.0
68000.0,1.515735,0.0,68000.0,89.0,73.15724485961239,-323.07692307692264,52.991452991452995,68000.0,0.0,27.0,14.0,14.0,7.0,0.0,0.0,1.0
69000.0,1.531926,0.0,69000.0,90.5,73.07927727777653,-295.83333333333286,56.018518518518526,69000.0,0.0,27.0,14.0,14.0,7.0,0.0,0.0,1.0
70000.0,1.551884,0.0,70000.0,97.0,90.33206146230792,-87.5,84.04255319148935,70000.0,0.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
71000.0,1.567448,0.0,71000.0,91.9,78.0302044004687,-237.49999999999955,69.77611940298509,71000.0,0.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
72000.0,1.583557,0.0,72000.0,80.4,53.83608040058977,-476.47058823529346,44.63276836158193,72000.0,0.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
73000.0,1.603852,0.0,73000.0,84.1,66.52878208974074,-341.66666666666634,53.644314868804656,73000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
74000.0,1.623193,0.0,74000.0,80.30000000000001,59.02986036877286,-392.49999999999943,29.642857142857164,74000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
75000.0,1.641144,0.0,75000.0,81.69999999999999,59.95614870054419,-408.33333333333303,39.40397350993376,75000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
76000.0,1.658313,0.0,76000.0,85.7,57.030346191175894,-266.6666666666664,31.904761904761887,76000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
77000.0,1.675472,0.0,77000.0,82.8,46.89063175446178,-258.3333333333331,8.510638297872292,77000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
78000.0,1.6924,0.0,78000.0,83.3,41.71233115772573,-475.8620689655168,7.734806629834259,78000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
79000.0,1.709349,0.0,79000.0,83.5,44.59815192865583,-415.62499999999966,21.052631578947338,79000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
80000.0,1.725978,0.0,80000.0,88.7,59.65438446158241,-334.6153846153842,42.346938775510196,80000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
81000.0,1.74359,0.0,81000.0,87.7,60.532395523154314,-309.9999999999996,41.98113207547169,81000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
82000.0,1.760943,0.0,82000.0,88.0,64.47076239822354,-499.9999999999995,46.666666666666664,82000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
83000.0,1.7779,0.0,83000.0,89.0,68.59816499095056,-399.9999999999995,47.867298578199055,83000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
84000.0,1.794428,0.0,84000.0,87.4,57.187999048622196,-472.72727272727224,23.63636363636365,84000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
85000.0,1.811477,0.0,85000.0,83.39999999999999,42.89095612924531,-314.9999999999997,19.417475728155306,85000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
86000.0,1.828958,0.0,86000.0,79.7,33.85036496350367,-361.36363636363586,10.964912280701764,86000.0,0.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
87000.0,1.858165,0.0,87000.0,86.3,58.96876834425504,-389.2857142857139,42.43697478991596,87000.0,0.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
88000.0,1.878444,0.0,88000.0,78.5,33.972925828563,-367.3913043478256,0.46296296296296346,88000.0,0.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
89000.0,1.896281,0.0,89000.0,80.10000000000001,19.62973134521255,-563.3333333333326,-25.949367088607545,89000.0,0.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
90000.0,1.914297,0.0,90000.0,80.30000000000001,18.29929828635887,-795.4545454545445,-1.5463917525773214,90000.0,0.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
91000.0,1.934481,0.0,91000.0,79.10000000000001,8.291501386597407,-553.1249999999993,-5.025125628140709,91000.0,0.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
92000.0,1.952326,0.0,92000.0,90.3,36.058009228740886,-169.44444444444414,-2.1052631578947394,92000.0,0.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
93000.0,1.969691,0.0,93000.0,92.4,47.818683657635646,-192.3076923076919,12.643678160919555,93000.0,0.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
94000.0,1.993523,0.0,94000.0,86.8,25.67232758232351,-499.9999999999995,-69.23076923076933,94000.0,0.0,39.0,20.0,20.0,9.0,0.0,0.0,1.0
95000.0,2.011444,0.0,95000.0,87.3,14.235548352241958,-388.461538461538,-67.10526315789484,95000.0,0.0,39.0,20.0,20.0,9.0,0.0,0.0,1.0
96000.0,2.029313,0.0,96000.0,88.3,41.87086388839204,-265.62499999999966,-7.339449541284411,96000.0,0.0,39.0,20.0,20.0,9.0,0.0,0.0,1.0
97000.0,2.047271,0.0,97000.0,87.1,49.826532041010005,-329.9999999999996,13.42281879194632,97000.0,0.0,39.0,20.0,20.0,9.0,0.0,0.0,1.0
98000.0,2.069532,0.0,98000.0,90.8,64.32587537322114,-253.84615384615344,42.138364779874244,98000.0,0.0,39.0,20.0,20.0,9.0,0.0,0.0,1.0
99000.0,2.089111,0.0,99000.0,86.6,57.70041794512417,-272.22222222222194,31.28205128205126,99000.0,0.0,39.0,20.0,20.0,9.0,0.0,0.0,1.0
100000.0,2.113945,0.0,100000.0,87.0,58.643507030603814,-233.33333333333303,36.27450980392155,100000.0,0.0,41.0,21.0,21.0,9.0,0.0,0.0,1.0
101000.0,2.132527,0.0,101000.0,80.5,42.480590886565835,-333.33333333333286,19.421487603305803,101000.0,0.0,41.0,21.0,21.0,9.0,0.0,0.0,1.0
102000.0,2.1541,0.0,102000.0,89.8,72.69339501413519,-277.7777777777774,62.63736263736265,102000.0,0.0,43.0,22.0,22.0,9.0,0.0,0.0,1.0
103000.0,2.179548,0.0,103000.0,86.9,63.48615261115819,-322.58064516128997,50.0,103000.0,0.0,45.0,23.0,23.0,9.0,0.0,0.0,1.0
104000.0,2.198163,0.0,104000.0,89.4,71.08604628960326,-221.21212121212088,61.172161172161175,104000.0,0.0,45.0,23.0,23.0,9.0,0.0,0.0,1.0
105000.0,2.216503,0.0,105000.0,89.0,72.68030995430162,-214.28571428571396,62.83783783783785,105000.0,0.0,45.0,23.0,23.0,9.0,0.0,0.0,1.0
106000.0,2.235042,0.0,106000.0,94.19999999999999,80.93108890057863,-107.14285714285714,70.10309278350512,106000.0,0.0,45.0,23.0,23.0,9.0,0.0,0.0,1.0
107000.0,2.253671,0.0,107000.0,92.4,75.2449447571399,-153.33333333333297,62.7450980392157,107000.0,0.0,45.0,23.0,23.0,9.0,0.0,0.0,1.0
108000.0,2.271879,0.0,108000.0,88.2,64.0475182123695,-268.74999999999966,44.07582938388625,108000.0,0.0,45.0,23.0,23.0,9.0,0.0,0.0,1.0
109000.0,2.289464,0.0,109000.0,90.9,68.73282023089611,-279.16666666666623,51.59574468085106,109000.0,0.0,45.0,23.0,23.0,9.0,0.0,0.0,1.0
110000.0,2.311849,0.0,110000.0,93.2,73.45978962980311,-183.3333333333329,57.763975155279546,110000.0,0.0,49.0,25.0,25.0,10.0,0.0,0.0,1.0
111000.0,2.331193,0.0,111000.0,95.19999999999999,80.26478085683742,-118.18181818181819,66.19718309859152,111000.0,0.0,49.0,25.0,25.0,10.0,0.0,0.0,1.0
112000.0,2.353256,0.0,112000.0,94.0,70.30687841161593,-130.76923076923077,55.555555555555515,112000.0,0.0,49.0,25.0,25.0,10.0,0.0,0.0,1.0
113000.0,2.376098,0.0,113000.0,94.39999999999999,75.11597731999073,-86.66666666666667,61.90476190476188,113000.0,0.0,51.0,26.0,26.0,10.0,0.0,0.0,1.0
114000.0,2.394285,0.0,114000.0,94.19999999999999,72.42808722231992,-93.33333333333333,57.664233576642296,114000.0,0.0,51.0,26.0,26.0,10.0,0.0,0.0,1.0
115000.0,2.416518,0.0,115000.0,93.2,63.97847183964065,-142.85714285714246,50.00000000000004,115000.0,0.0,53.0,27.0,27.0,10.0,0.0,0.0,1.0
116000.0,2.441613,0.0,116000.0,92.7,70.69214710133294,-264.99999999999943,54.37500000000004,116000.0,0.0,57.0,29.0,29.0,10.0,0.0,0.0,1.0
117000.0,2.462758,0.0,117000.0,86.8,57.62412599759868,-312.49999999999966,43.34763948497854,117000.0,0.0,59.0,30.0,30.0,10.0,0.0,0.0,1.0
118000.0,2.482123,0.0,118000.0,85.39999999999999,30.54234062797333,-305.55555555555526,2.6666666666666687,118000.0,0.0,59.0,30.0,30.0,10.0,0.0,0.0,1.0
119000.0,2.505498,0.0,119000.0,90.8,59.526637631428436,-187.49999999999966,44.24242424242427,119000.0,0.0,61.0,31.0,31.0,10.0,0.0,0.0,1.0
120000.0,2.52577,0.0,120000.0,84.1,48.9619043950541,-217.9999999999998,35.36585365853657,120000.0,0.0,61.0,31.0,31.0,10.0,0.0,0.0,1.0
121000.0,2.544198,0.0,121000.0,78.5,36.906480731532696,-338.7755102040812,16.666666666666682,121000.0,0.0,61.0,31.0,31.0,10.0,0.0,0.0,1.0
122000.0,2.562757,0.0,122000.0,80.60000000000001,52.749308288843,-424.32432432432375,42.60355029585799,122000.0,0.0,61.0,31.0,31.0,10.0,0.0,0.0,1.0
123000.0,2.581233,0.0,123000.0,82.8,53.57574710658143,-282.222222222222,36.764705882352935,123000.0,0.0,61.0,31.0,31.0,10.0,0.0,0.0,1.0
124000.0,2.602117,0.0,124000.0,83.1,54.99813601746818,-312.1951219512193,31.300813008130064,124000.0,0.0,63.0,32.0,32.0,10.0,0.0,0.0,1.0
125000.0,2.623196,0.0,125000.0,86.5,60.237983034872755,-206.81818181818156,40.78947368421052,125000.0,0.0,63.0,32.0,32.0,10.0,0.0,0.0,1.0
126000.0,2.646841,0.0,126000.0,83.89999999999999,58.00905543847935,-209.61538461538441,39.01515151515151,126000.0,0.0,65.0,33.0,33.0,11.0,0.0,0.0,1.0
127000.0,2.666369,0.0,127000.0,84.5,57.85844788585348,-209.99999999999977,39.68871595330739,127000.0,0.0,65.0,33.0,33.0,11.0,0.0,0.0,1.0
128000.0,2.686038,0.0,128000.0,83.8,58.3489738935482,-285.71428571428544,41.516245487364614,128000.0,0.0,65.0,33.0,33.0,11.0,0.0,0.0,1.0
129000.0,2.705547,0.0,129000.0,82.69999999999999,50.789081434114244,-332.4999999999997,22.072072072072043,129000.0,0.0,65.0,33.0,33.0,11.0,0.0,0.0,1.0
130000.0,2.725782,0.0,130000.0,85.1,54.300646538504,-325.7142857142854,19.892473118279582,130000.0,0.0,65.0,33.0,33.0,11.0,0.0,0.0,1.0
131000.0,2.75068,0.0,131000.0,90.7,64.10375173691526,-304.34782608695605,22.50000000000002,131000.0,0.0,67.0,34.0,34.0,11.0,0.0,0.0,1.0
